message;severity;node;stamp;location
"POSE: x: 1.045563; y: 2.720291; omega: -1.405602";"20";"tug_turtlebot4.simple_turtle";"1734544746.269673924";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.070404; y: 2.769246; omega: 4.867949";"20";"tug_turtlebot4.simple_turtle";"1734544746.230277538";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.047822; y: 2.706723; omega: -1.406017";"20";"tug_turtlebot4.simple_turtle";"1734544746.230144521";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.072540; y: 2.755591; omega: 4.867533";"20";"tug_turtlebot4.simple_turtle";"1734544746.196265268";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.050075; y: 2.693154; omega: -1.406431";"20";"tug_turtlebot4.simple_turtle";"1734544746.196067104";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.074677; y: 2.741891; omega: 4.866740";"20";"tug_turtlebot4.simple_turtle";"1734544746.160564877";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.052323; y: 2.679584; omega: -1.406845";"20";"tug_turtlebot4.simple_turtle";"1734544746.160387079";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.076801; y: 2.728234; omega: 4.866323";"20";"tug_turtlebot4.simple_turtle";"1734544746.128130445";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.054565; y: 2.666013; omega: -1.407259";"20";"tug_turtlebot4.simple_turtle";"1734544746.127980991";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.078919; y: 2.714576; omega: 4.865907";"20";"tug_turtlebot4.simple_turtle";"1734544746.089748467";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
