x_dis,y_diy,yaw,time
1.7584,0.165796,0.710489,20.952
1.74801,0.156968,0.695956,20.982
1.73749,0.148291,0.681423,21.012
1.72684,0.139768,0.666889,21.042
1.71607,0.131401,0.652356,21.072
1.70519,0.123192,0.637823,21.102
1.69418,0.115141,0.623289,21.135
1.68306,0.107251,0.608756,21.162
1.67182,0.0995235,0.594223,21.192
1.66047,0.0919602,0.579689,21.222
1.64902,0.0845625,0.565156,21.252
1.63746,0.0773322,0.550622,21.282
1.62579,0.0702706,0.536089,21.312
1.61402,0.0633793,0.521556,21.342
1.60216,0.0566598,0.507022,21.372
1.5902,0.0501134,0.492489,21.402
1.57814,0.0437415,0.477956,21.432
1.56599,0.0375455,0.463422,21.462
1.55376,0.0315267,0.448889,21.492
1.54143,0.0256864,0.434356,21.522
1.52903,0.0200258,0.419822,21.552
1.51654,0.0145461,0.405289,21.582
1.50398,0.00924839,0.390755,21.612
1.49133,0.00413388,0.376222,21.642
1.47862,-0.000796385,0.361689,21.672
1.46584,-0.00554135,0.347155,21.702
1.45298,-0.0101,0.332622,21.732
1.44007,-0.0144715,0.318089,21.762
1.42709,-0.0186547,0.303555,21.792
1.41405,-0.0226489,0.289022,21.822
1.40095,-0.0264531,0.274488,21.852
1.38781,-0.0300667,0.259955,21.882
1.37461,-0.0334888,0.245422,21.912
1.36136,-0.0367187,0.230888,21.942
1.34806,-0.0397557,0.216355,21.972
1.33473,-0.0425992,0.201822,22.002
1.32135,-0.0452486,0.187288,22.032
1.30794,-0.0477033,0.172755,22.062
1.29449,-0.0499627,0.158222,22.092
1.28101,-0.0520266,0.143688,22.122
1.2675,-0.0538943,0.129155,22.152
1.25397,-0.0555655,0.114621,22.182
1.24041,-0.0570398,0.100088,22.212
1.22683,-0.058317,0.0855547,22.242
1.21324,-0.0593967,0.0710214,22.272
1.19963,-0.0602788,0.056488,22.302
1.18601,-0.060963,0.0419546,22.332
1.17239,-0.0614492,0.0274213,22.362
1.15875,-0.0617373,0.0128879,22.392
1.14512,-0.0618272,-0.00164547,22.422
1.13148,-0.061719,-0.0161788,22.452
1.11785,-0.0614126,-0.0307122,22.482
1.10422,-0.0609081,-0.0452456,22.512
1.0906,-0.0602056,-0.0597789,22.542
1.07721,-0.0593247,-0.0723793,22.572
1.06455,-0.0583675,-0.0782829,22.602
1.05264,-0.0574319,-0.0772826,22.632
1.04148,-0.0565991,-0.0693785,22.662
1.03106,-0.0559347,-0.0545705,22.692
1.02139,-0.0554893,-0.0328586,22.722
1.01246,-0.0552975,-0.00450789,22.752
1.00432,-0.0553624,0.0256251,22.782
0.996995,-0.0556407,0.0557339,22.812
0.990487,-0.0560835,0.0858183,22.842
0.984798,-0.0566416,0.115878,22.875
0.979929,-0.0572663,0.145914,22.902
0.975879,-0.0579087,0.175926,22.932
0.972642,-0.0585203,0.205913,22.962
0.970213,-0.0590529,0.235876,22.995
0.968583,-0.0594588,0.265814,23.022
0.967743,-0.0596907,0.295728,23.055
0.967679,-0.0597021,0.325618,23.082
0.968376,-0.0594468,0.355484,23.112
0.969819,-0.0588797,0.385325,23.142
0.971988,-0.0579563,0.415142,23.172
0.974862,-0.0566333,0.444935,23.202
0.978421,-0.054868,0.474703,23.232
0.982638,-0.0526191,0.504447,23.262
0.987487,-0.0498462,0.534167,23.292
0.992942,-0.0465102,0.563862,23.325
0.998972,-0.0425732,0.593534,23.352
1.00555,-0.0379986,0.62318,23.382
1.01263,-0.0327515,0.652803,23.412
1.02019,-0.026798,0.682401,23.442
1.02819,-0.0201061,0.711975,23.472
1.03659,-0.012645,0.741525,23.502
1.04536,-0.00438588,0.77105,23.535
1.05445,0.00469865,0.800551,23.565
1.0637,0.0144993,0.830033,23.595
1.07269,0.0245994,0.859514,23.622
1.08137,0.03496,0.888995,23.652
